file_path,start_time,end_time,spinup,true_start_time,mp,bl,station,sip
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-09-30_SPRK.nc,2024-09-30 00:00:00,2024-10-03 00:00:00,24,2024-10-01 00:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-09-30_HAC.nc,2024-09-30 00:00:00,2024-10-03 00:00:00,24,2024-10-01 00:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-09-30_NPRK.nc,2024-09-30 00:00:00,2024-10-03 00:00:00,24,2024-10-01 00:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-01_HAC.nc,2024-10-01 06:00:00,2024-10-04 00:00:00,24,2024-10-02 06:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-01_NPRK.nc,2024-10-01 06:00:00,2024-10-04 00:00:00,24,2024-10-02 06:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-01_SPRK.nc,2024-10-01 06:00:00,2024-10-04 00:00:00,24,2024-10-02 06:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-04_SPRK.nc,2024-10-04 00:00:00,2024-10-07 00:00:00,24,2024-10-05 00:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-04_NPRK.nc,2024-10-04 00:00:00,2024-10-07 00:00:00,24,2024-10-05 00:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-04_HAC.nc,2024-10-04 00:00:00,2024-10-07 00:00:00,24,2024-10-05 00:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-05_SPRK.nc,2024-10-05 12:00:00,2024-10-08 12:00:00,24,2024-10-06 12:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-05_NPRK.nc,2024-10-05 12:00:00,2024-10-08 12:00:00,24,2024-10-06 12:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-05_HAC.nc,2024-10-05 12:00:00,2024-10-08 12:00:00,24,2024-10-06 12:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_NPRK_SH.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,11,NPRK,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_NPRK_WDM6.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,16,1,NPRK,0
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_HAC_MYJ.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,2,HAC,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_NPRK_YSU.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-06_NPRK.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_SPRK_MYJ25.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,5,SPRK,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_SPRK_THMP.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,8,1,SPRK,0
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_SPRK_KEPS.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,17,SPRK,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_HAC_YSU.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_HAC_THMP.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,8,1,HAC,0
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_HAC_SH.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,11,HAC,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_SPRK_SH.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,11,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-06_HAC.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_HAC_WDM6.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,16,1,HAC,0
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_SPRK_YSU.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_SPRK_WDM6.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,16,1,SPRK,0
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_HAC_MYJ25.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,5,HAC,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_NPRK_MYJ.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,2,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-06_SPRK.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_NPRK_THMP.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,8,1,NPRK,0
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_SPRK_MYJ.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,2,SPRK,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_NPRK_MYJ25.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,5,NPRK,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_NPRK_KEPS.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,17,NPRK,1
/home/waseem/CHOPIN_analysis/data/rain_period_1/wrfout/wrfout_CHPN_d03_2024-10-06_HAC_KEPS.nc,2024-10-06 00:00:00,2024-10-09 00:00:00,24,2024-10-07 00:00:00,10,17,HAC,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-08_SPRK.nc,2024-10-08 00:00:00,2024-10-10 18:00:00,24,2024-10-09 00:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-08_NPRK.nc,2024-10-08 00:00:00,2024-10-10 18:00:00,24,2024-10-09 00:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-08_HAC.nc,2024-10-08 00:00:00,2024-10-10 18:00:00,24,2024-10-09 00:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-09_HAC.nc,2024-10-09 00:00:00,2024-10-11 00:00:00,24,2024-10-10 00:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-09_NPRK.nc,2024-10-09 00:00:00,2024-10-11 00:00:00,24,2024-10-10 00:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-09_SPRK.nc,2024-10-09 00:00:00,2024-10-11 00:00:00,24,2024-10-10 00:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-10_NPRK.nc,2024-10-10 00:00:00,2024-10-13 00:00:00,24,2024-10-11 00:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-10_HAC.nc,2024-10-10 00:00:00,2024-10-13 00:00:00,24,2024-10-11 00:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-10_SPRK.nc,2024-10-10 00:00:00,2024-10-13 00:00:00,24,2024-10-11 00:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-12_NPRK.nc,2024-10-12 00:00:00,2024-10-15 00:00:00,24,2024-10-13 00:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-12_SPRK.nc,2024-10-12 00:00:00,2024-10-15 00:00:00,24,2024-10-13 00:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-12_HAC.nc,2024-10-12 00:00:00,2024-10-15 00:00:00,24,2024-10-13 00:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-16_HAC.nc,2024-10-16 00:00:00,2024-10-21 00:00:00,24,2024-10-17 00:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-16_SPRK.nc,2024-10-16 00:00:00,2024-10-21 00:00:00,24,2024-10-17 00:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-16_NPRK.nc,2024-10-16 00:00:00,2024-10-21 00:00:00,24,2024-10-17 00:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/envelopment_period_1/wrfout/wrfout_CHPN_d03_2024-10-17_NPRK_MYNN.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,5,NPRK,1
/home/waseem/CHOPIN_analysis/data/envelopment_period_1/wrfout/wrfout_CHPN_d03_2024-10-17_NPRK_YSU.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/envelopment_period_1/wrfout/wrfout_CHPN_d03_2024-10-17_SPRK_YSU.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/envelopment_period_1/wrfout/wrfout_CHPN_d03_2024-10-17_SPRK_MYNN.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,5,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-17_HAC.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/envelopment_period_1/wrfout/wrfout_CHPN_d03_2024-10-17_HAC_MYNN.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,5,HAC,1
/home/waseem/CHOPIN_analysis/data/envelopment_period_1/wrfout/wrfout_CHPN_d03_2024-10-17_NPRK_KEPS.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,17,NPRK,1
/home/waseem/CHOPIN_analysis/data/envelopment_period_1/wrfout/wrfout_CHPN_d03_2024-10-17_SPRK_KEPS.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,17,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-17_NPRK.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-17_SPRK.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/envelopment_period_1/wrfout/wrfout_CHPN_d03_2024-10-17_HAC_KEPS.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,17,HAC,1
/home/waseem/CHOPIN_analysis/data/envelopment_period_1/wrfout/wrfout_CHPN_d03_2024-10-17_HAC_YSU.nc,2024-10-17 18:00:00,2024-10-20 18:00:00,24,2024-10-18 18:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-20_NPRK.nc,2024-10-20 00:00:00,2024-10-23 00:00:00,24,2024-10-21 00:00:00,10,1,NPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-20_SPRK.nc,2024-10-20 00:00:00,2024-10-23 00:00:00,24,2024-10-21 00:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-20_HAC.nc,2024-10-20 00:00:00,2024-10-23 00:00:00,24,2024-10-21 00:00:00,10,1,HAC,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-24_SPRK.nc,2024-10-24 00:00:00,2024-10-27 00:00:00,24,2024-10-25 00:00:00,10,1,SPRK,1
/home/waseem/CHOPIN_analysis/data/wrfout/wrfout_CHPN_d03_2024-10-24_HAC.nc,2024-10-24 00:00:00,2024-10-27 00:00:00,24,2024-10-25 00:00:00,10,1,HAC,1
